movie_id,title,overview,genres,keywords,cast,crew,vote_average,popularity,image info
19995,Avatar,"['In', 'the', '22nd', 'century,', 'a', 'paraplegic', 'Marine', 'is', 'dispatched', 'to', 'the', 'moon', 'Pandora', 'on', 'a', 'unique', 'mission,', 'but', 'becomes', 'torn', 'between', 'following', 'orders', 'and', 'protecting', 'an', 'alien', 'civilization.']","['Action', 'Adventure', 'Fantasy', 'ScienceFiction']","['cultureclash', 'future', 'spacewar', 'spacecolony', 'society', 'spacetravel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alienplanet', 'cgi', 'marine', 'soldier', 'battle', 'loveaffair', 'antiwar', 'powerrelations', 'mindandsoul', '3d']","['SamWorthington', 'ZoeSaldana', 'SigourneyWeaver']",['JamesCameron'],7.2,150.437577,"{'bar': 1.778, 'bfp': '/jlQJDD0L5ZojjlS0KYnApdO0n19.jpg', 'bh': 1080, 'bw': 1920, 'lar': 4.267, 'lfp': '/bfyDWTohsMdoYqEs9gVjkQo8Gk1.png', 'lh': 315, 'lw': 1344, 'par': 0.667, 'pfp': '/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg', 'ph': 3000, 'pw': 2000}"
285,Pirates of the Caribbean: At World's End,"['Captain', 'Barbossa,', 'long', 'believed', 'to', 'be', 'dead,', 'has', 'come', 'back', 'to', 'life', 'and', 'is', 'headed', 'to', 'the', 'edge', 'of', 'the', 'Earth', 'with', 'Will', 'Turner', 'and', 'Elizabeth', 'Swann.', 'But', 'nothing', 'is', 'quite', 'as', 'it', 'seems.']","['Adventure', 'Fantasy', 'Action']","['ocean', 'drugabuse', 'exoticisland', 'eastindiatradingcompany', ""loveofone'slife"", 'traitor', 'shipwreck', 'strongwoman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']","['JohnnyDepp', 'OrlandoBloom', 'KeiraKnightley']",['GoreVerbinski'],6.9,139.082615,"{'bar': 1.778, 'bfp': '/3Au8rkDVsRK2AT4jq9dg6jH6buy.jpg', 'bh': 1080, 'bw': 1920, 'lar': 2.775, 'lfp': '/8PMFe1SR06ARaw8YxSrxFTYIfu8.png', 'lh': 519, 'lw': 1440, 'par': 0.667, 'pfp': '/zMXZQPJ3VnPR6IrD62OY9xqRK0n.jpg', 'ph': 3000, 'pw': 2000}"
206647,Spectre,"['A', 'cryptic', 'message', 'from', 'Bond’s', 'past', 'sends', 'him', 'on', 'a', 'trail', 'to', 'uncover', 'a', 'sinister', 'organization.', 'While', 'M', 'battles', 'political', 'forces', 'to', 'keep', 'the', 'secret', 'service', 'alive,', 'Bond', 'peels', 'back', 'the', 'layers', 'of', 'deceit', 'to', 'reveal', 'the', 'terrible', 'truth', 'behind', 'SPECTRE.']","['Action', 'Adventure', 'Crime']","['spy', 'basedonnovel', 'secretagent', 'sequel', 'mi6', 'britishsecretservice', 'unitedkingdom']","['DanielCraig', 'ChristophWaltz', 'LéaSeydoux']",['SamMendes'],6.3,107.376788,"{'bar': 1.778, 'bfp': '/tcf8WL3Lf1nWkOOT7SdhbS2kU6E.jpg', 'bh': 1080, 'bw': 1920, 'lar': 3.16, 'lfp': '/1cj0mxPLu5HxrADenqHqi1cRIy.png', 'lh': 250, 'lw': 790, 'par': 0.667, 'pfp': '/aD8fQF2WFAvMMxmMHHj2RXz2hwP.jpg', 'ph': 1500, 'pw': 1000}"
49026,The Dark Knight Rises,"['Following', 'the', 'death', 'of', 'District', 'Attorney', 'Harvey', 'Dent,', 'Batman', 'assumes', 'responsibility', 'for', ""Dent's"", 'crimes', 'to', 'protect', 'the', 'late', ""attorney's"", 'reputation', 'and', 'is', 'subsequently', 'hunted', 'by', 'the', 'Gotham', 'City', 'Police', 'Department.', 'Eight', 'years', 'later,', 'Batman', 'encounters', 'the', 'mysterious', 'Selina', 'Kyle', 'and', 'the', 'villainous', 'Bane,', 'a', 'new', 'terrorist', 'leader', 'who', 'overwhelms', ""Gotham's"", 'finest.', 'The', 'Dark', 'Knight', 'resurfaces', 'to', 'protect', 'a', 'city', 'that', 'has', 'branded', 'him', 'an', 'enemy.']","['Action', 'Crime', 'Drama', 'Thriller']","['dccomics', 'crimefighter', 'terrorist', 'secretidentity', 'burglar', 'hostagedrama', 'timebomb', 'gothamcity', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragichero', 'terrorism', 'destruction', 'catwoman', 'catburglar', 'imax', 'flood', 'criminalunderworld', 'batman']","['ChristianBale', 'MichaelCaine', 'GaryOldman']",['ChristopherNolan'],7.6,112.31295,"{'bar': 1.778, 'bfp': '/cKPfiu9IcCW0fMdKdQBXe3PRtTZ.jpg', 'bh': 1440, 'bw': 2560, 'lar': 2.537, 'lfp': '/xRY8LUBEmdbOFAun6Ds6vclmO0d.png', 'lh': 503, 'lw': 1276, 'par': 0.667, 'pfp': '/rrS7K8tXVFUBliIKWaRuSq65nWr.jpg', 'ph': 3000, 'pw': 2000}"
49529,John Carter,"['John', 'Carter', 'is', 'a', 'war-weary,', 'former', 'military', 'captain', ""who's"", 'inexplicably', 'transported', 'to', 'the', 'mysterious', 'and', 'exotic', 'planet', 'of', 'Barsoom', '(Mars)', 'and', 'reluctantly', 'becomes', 'embroiled', 'in', 'an', 'epic', 'conflict.', ""It's"", 'a', 'world', 'on', 'the', 'brink', 'of', 'collapse,', 'and', 'Carter', 'rediscovers', 'his', 'humanity', 'when', 'he', 'realizes', 'the', 'survival', 'of', 'Barsoom', 'and', 'its', 'people', 'rests', 'in', 'his', 'hands.']","['Action', 'Adventure', 'ScienceFiction']","['basedonnovel', 'mars', 'medallion', 'spacetravel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgarriceburroughs', 'alienrace', 'superhumanstrength', 'marscivilization', 'swordandplanet', '19thcentury', '3d']","['TaylorKitsch', 'LynnCollins', 'SamanthaMorton']",['AndrewStanton'],6.1,43.926995,"{'bar': 1.778, 'bfp': '/ubNevniKd5NYo60DqYIQ29T0uyB.jpg', 'bh': 1080, 'bw': 1920, 'lar': 2.27, 'lfp': '/lvX2eL1Tf3Sr3E334Z6WUZddJgM.png', 'lh': 1080, 'lw': 2452, 'par': 0.667, 'pfp': '/7GSSyUUgUEXm1rhmiPGSRuKoqnK.jpg', 'ph': 3000, 'pw': 2000}"
559,Spider-Man 3,"['The', 'seemingly', 'invincible', 'Spider-Man', 'goes', 'up', 'against', 'an', 'all-new', 'crop', 'of', 'villain', '–', 'including', 'the', 'shape-shifting', 'Sandman.', 'While', 'Spider-Man’s', 'superpowers', 'are', 'altered', 'by', 'an', 'alien', 'organism,', 'his', 'alter', 'ego,', 'Peter', 'Parker,', 'deals', 'with', 'nemesis', 'Eddie', 'Brock', 'and', 'also', 'gets', 'caught', 'up', 'in', 'a', 'love', 'triangle.']","['Fantasy', 'Action', 'Adventure']","['dualidentity', 'amnesia', 'sandstorm', ""loveofone'slife"", 'forgiveness', 'spider', 'wretch', 'deathofafriend', 'egomania', 'sand', 'narcism', 'hostility', 'marvelcomic', 'sequel', 'superhero', 'revenge']","['TobeyMaguire', 'KirstenDunst', 'JamesFranco']",['SamRaimi'],5.9,115.699814,"{'bar': 1.778, 'bfp': '/6MQmtWk4cFwSDyNvIgoJRBIHUT3.jpg', 'bh': 1080, 'bw': 1920, 'lar': 3.557, 'lfp': '/nbNVDI47kCnuph6O6giApElrPCL.png', 'lh': 359, 'lw': 1277, 'par': 0.667, 'pfp': '/2jLxKF73SAPkyhIWrnv67IH7kJ1.jpg', 'ph': 1500, 'pw': 1000}"
38757,Tangled,"['When', 'the', ""kingdom's"", 'most', 'wanted-and', 'most', 'charming-bandit', 'Flynn', 'Rider', 'hides', 'out', 'in', 'a', 'mysterious', 'tower,', ""he's"", 'taken', 'hostage', 'by', 'Rapunzel,', 'a', 'beautiful', 'and', 'feisty', 'tower-bound', 'teen', 'with', '70', 'feet', 'of', 'magical,', 'golden', 'hair.', ""Flynn's"", 'curious', 'captor,', ""who's"", 'looking', 'for', 'her', 'ticket', 'out', 'of', 'the', 'tower', 'where', ""she's"", 'been', 'locked', 'away', 'for', 'years,', 'strikes', 'a', 'deal', 'with', 'the', 'handsome', 'thief', 'and', 'the', 'unlikely', 'duo', 'sets', 'off', 'on', 'an', 'action-packed', 'escapade,', 'complete', 'with', 'a', 'super-cop', 'horse,', 'an', 'over-protective', 'chameleon', 'and', 'a', 'gruff', 'gang', 'of', 'pub', 'thugs.']","['Animation', 'Family']","['hostage', 'magic', 'horse', 'fairytale', 'musical', 'princess', 'animation', 'tower', 'blondewoman', 'selfishness', 'healingpower', 'basedonfairytale', 'duringcreditsstinger', 'healinggift', 'animalsidekick']","['ZacharyLevi', 'MandyMoore', 'DonnaMurphy']",['ByronHoward'],7.4,48.681969,"{'bar': 1.778, 'bfp': '/cWczNud8Y8i8ab0Z4bxos4myWYO.jpg', 'bh': 2160, 'bw': 3840, 'lar': 1.96, 'lfp': '/bV2WA36PW4MrroMIP3GB4jySOeC.png', 'lh': 202, 'lw': 396, 'par': 0.667, 'pfp': '/stucDtFt7nDYlQqd37wFs1yVEnQ.jpg', 'ph': 1500, 'pw': 1000}"
99861,Avengers: Age of Ultron,"['When', 'Tony', 'Stark', 'tries', 'to', 'jumpstart', 'a', 'dormant', 'peacekeeping', 'program,', 'things', 'go', 'awry', 'and', 'Earth’s', 'Mightiest', 'Heroes', 'are', 'put', 'to', 'the', 'ultimate', 'test', 'as', 'the', 'fate', 'of', 'the', 'planet', 'hangs', 'in', 'the', 'balance.', 'As', 'the', 'villainous', 'Ultron', 'emerges,', 'it', 'is', 'up', 'to', 'The', 'Avengers', 'to', 'stop', 'him', 'from', 'enacting', 'his', 'terrible', 'plans,', 'and', 'soon', 'uneasy', 'alliances', 'and', 'unexpected', 'action', 'pave', 'the', 'way', 'for', 'an', 'epic', 'and', 'unique', 'global', 'adventure.']","['Action', 'Adventure', 'ScienceFiction']","['marvelcomic', 'sequel', 'superhero', 'basedoncomicbook', 'vision', 'superheroteam', 'duringcreditsstinger', 'marvelcinematicuniverse', '3d']","['RobertDowneyJr.', 'ChrisHemsworth', 'MarkRuffalo']",['JossWhedon'],7.3,134.279229,"{'bar': 1.778, 'bfp': '/xnqust9Li4oxfhXD5kcPi3UC8i4.jpg', 'bh': 2160, 'bw': 3840, 'lar': 3.437, 'lfp': '/a4IXS6fqA7OroPKgd6NzjmJK6S5.png', 'lh': 391, 'lw': 1344, 'par': 0.667, 'pfp': '/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg', 'ph': 2100, 'pw': 1400}"
767,Harry Potter and the Half-Blood Prince,"['As', 'Harry', 'begins', 'his', 'sixth', 'year', 'at', 'Hogwarts,', 'he', 'discovers', 'an', 'old', 'book', 'marked', 'as', ""'Property"", 'of', 'the', 'Half-Blood', ""Prince',"", 'and', 'begins', 'to', 'learn', 'more', 'about', 'Lord', ""Voldemort's"", 'dark', 'past.']","['Adventure', 'Fantasy', 'Family']","['witch', 'magic', 'broom', 'schoolofwitchcraft', 'wizardry', 'apparition', 'teenagecrush', 'werewolf']","['DanielRadcliffe', 'RupertGrint', 'EmmaWatson']",['DavidYates'],7.4,98.885637,"{'bar': 1.778, 'bfp': '/ze6Mx4QE5mQVXRYmG2flncqqle4.jpg', 'bh': 2160, 'bw': 3840, 'lar': 2.341, 'lfp': '/2qyXHiXBCLVR8ooBdcXJMUgqz3n.png', 'lh': 185, 'lw': 433, 'par': 0.667, 'pfp': '/nSb3nNiL6pOEDK34T0U6RKTGzlJ.jpg', 'ph': 3000, 'pw': 2000}"
209112,Batman v Superman: Dawn of Justice,"['Fearing', 'the', 'actions', 'of', 'a', 'god-like', 'Super', 'Hero', 'left', 'unchecked,', 'Gotham', 'City’s', 'own', 'formidable,', 'forceful', 'vigilante', 'takes', 'on', 'Metropolis’s', 'most', 'revered,', 'modern-day', 'savior,', 'while', 'the', 'world', 'wrestles', 'with', 'what', 'sort', 'of', 'hero', 'it', 'really', 'needs.', 'And', 'with', 'Batman', 'and', 'Superman', 'at', 'war', 'with', 'one', 'another,', 'a', 'new', 'threat', 'quickly', 'arises,', 'putting', 'mankind', 'in', 'greater', 'danger', 'than', 'it’s', 'ever', 'known', 'before.']","['Action', 'Adventure', 'Fantasy']","['dccomics', 'vigilante', 'superhero', 'basedoncomicbook', 'revenge', 'superpowers', 'clarkkent', 'brucewayne', 'dcextendeduniverse']","['BenAffleck', 'HenryCavill', 'GalGadot']",['ZackSnyder'],5.7,155.790452,"{'bar': 1.778, 'bfp': '/dasEWdFNSobYvY8xWcfz3z02kTu.jpg', 'bh': 1080, 'bw': 1920, 'lar': 4.974, 'lfp': '/4WqfSqfWKuTxGWD0Mz4pJ929tu9.png', 'lh': 868, 'lw': 4317, 'par': 0.667, 'pfp': '/5UsK3grJvtQrtzEgqNlDljJW96w.jpg', 'ph': 3000, 'pw': 2000}"
